Date,Open,High,Low,Close,Volume
2017-04-19 19:45:00,2343.83,2343.85,2343.45,2343.46,0.0
2017-04-19 19:46:00,2343.63,2343.83,2343.44,2343.83,0.0
2017-04-19 19:47:00,2343.47,2343.65,2343.28,2343.64,0.0
2017-04-19 19:48:00,2343.72,2343.97,2343.46,2343.46,0.0
2017-04-19 19:49:00,2344.18,2344.2,2343.74,2343.74,0.0
2017-04-19 19:50:00,2344.13,2344.39,2344.11,2344.2,0.0
2017-04-19 19:51:00,2344.22,2344.32,2344.13,2344.13,0.0
2017-04-19 19:52:00,2344.53,2344.53,2344.22,2344.22,0.0
2017-04-19 19:53:00,2344.29,2344.62,2344.29,2344.55,0.0
2017-04-19 19:54:00,2344.41,2344.57,2344.29,2344.29,0.0
2017-04-19 19:55:00,2344.39,2344.54,2344.37,2344.41,0.0
2017-04-19 19:56:00,2343.8,2344.39,2343.8,2344.38,0.0
2017-04-19 19:57:00,2343.59,2343.8,2343.32,2343.8,0.0
2017-04-19 19:58:00,2343.49,2343.74,2343.48,2343.59,0.0
2017-04-19 19:59:00,2344.22,2344.26,2343.47,2343.5,0.0
2017-04-19 20:00:00,2343.86,2344.22,2343.75,2344.22,0.0
2017-04-19 20:01:00,2344.03,2344.15,2343.84,2343.86,0.0
2017-04-19 20:02:00,2344.62,2344.62,2344.03,2344.03,0.0
2017-04-19 20:03:00,2344.54,2344.69,2344.48,2344.63,0.0
2017-04-19 20:04:00,2343.74,2344.47,2343.53,2344.47,0.0
2017-04-19 20:05:00,2343.39,2343.74,2343.39,2343.74,0.0
2017-04-19 20:06:00,2342.7,2343.38,2342.5,2343.38,0.0
2017-04-19 20:07:00,2342.49,2342.86,2342.41,2342.68,0.0
2017-04-19 20:08:00,2343.05,2343.25,2342.48,2342.48,0.0
2017-04-19 20:09:00,2343.05,2343.07,2342.78,2343.04,0.0
2017-04-19 20:10:00,2342.67,2343.05,2342.67,2343.05,0.0
2017-04-19 20:11:00,2343.0,2343.06,2342.61,2342.67,0.0
